_id,municipio,nombre,provincia,sensores[0],sensores[1],sensores[2],sensores[3],sensores[4],sensores[5],sensores[6],sensores[7],sensores[8],sensores[9],sensores[10],sensores[11],sensores[12],sensores[13],sensores[14],sensores[15],sensores[16],sensores[17],sensores[18],sensores[19],snapshot,tipo_estacion
C0A1,Peñacerrada-Urizaharra,Pagoeta,Álava,ISA1,URA1,R0W1,,,,,,,,,,,,,,,,,,20221003,GAUGING
C082,Donostia / San Sebastián,Txomin Enea,Gipuzkoa,CS82,UL82,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C081,Donostia / San Sebastián,Martutene,Gipuzkoa,CS81,UL81,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0B2,Zaratamo,Zaratamo,Bizkaia,NRB2,NCB2,NTB2,NOB2,NPB2,NAB2,NMB2,RMB2,NIB2,,,,,,,,,,,,20230420,QUALITY
C0AB,Iruña Oka/Iruña de Oca,Nanclares,Álava,G426,Y037,K0AV,ISAB,R0CA,ULAB,,,,,,,,,,,,,,,20221003,GAUGING
C0A2,Asparrena,Egino,Álava,ISA2,R030,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0A3,Campezo/Kanpezu,Antoñana,Álava,R0BR,ISBS,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0B0,Bilbao,La Merced,Bizkaia,PR02,,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0AA,Barrundia,Etura,Álava,NRAA,NCAA,NTAA,G4AI,NOAA,R0A6,NPAA,NAAA,SRAA,ISP4,K091,Y0DC,,,,,,,,,20221003,GAUGING
C0B1,Arrigorriaga,Abusu,Bizkaia,NCB1,NTB1,NOB1,G4AI,NPB1,NAB1,NRB1,ISCT,NMB1,RMB1,NIB1,R0FP,,,,,,,,,20221003,QUALITY
C0BA,Amoroto,Oleta,Bizkaia,NTBA,ISCY,NOBA,NPBA,NRBA,ORBA,FTBA,NCBA,R0CX,G418,NABA,NMBA,RM02,NIBA,,,,,,,20221116,QUALITY
C0A4,Condado de Treviño,Albaina,Burgos,R0EH,IS23,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0B3,Igorre,Urkizu,Bizkaia,ISAJ,R0AO,RMR1,G4C5,,,,,,,,,,,,,,,,,20221003,GAUGING
C0B7,Izurtza,Mañaria,Bizkaia,RMB7,ISF7,R012,G4C2,,,,,,,,,,,,,,,,,20221003,QUALITY
C0B8,Getxo,Larrainazubi,Bizkaia,RA03,R0HJ,G4DB,ULB8,,,,,,,,,,,,,,,,,20240624,GAUGING
B094,Getaria,Puerto de Getaria,Gipuzkoa,MO02,TA02,VV02,CT14,CT13,CT12,CT11,CT10,DV02,MI00,RN02,SP02,CB17,HA02,CB16,CB15,CB14,CB13,CB12,,20210524,BUOY
C0B6,Iurreta,Berna,Bizkaia,R0A4,RMB6,G467,,,,,,,,,,,,,,,,,,20221003,METEOROLOGICAL
C0B4,Orozko,Orozko,Bizkaia,IS70,R0AG,G417,Y0R5,RMB4,,,,,,,,,,,,,,,,20221003,GAUGING
C0B9,Sondika,Sangroniz,Bizkaia,ISAY,R007,ISF7,G4AC,,,,,,,,,,,,,,,,,20230405,GAUGING
C0B5,Iurreta,Oromino,Bizkaia,IS20,,,,,,,,,,,,,,,,,,,,20221003,GAUGING
C0C4,Güeñes,Sodupe-Herrerias,Bizkaia,NRC4,NCC4,NTC4,NMC4,ISFB,NOC4,NPC4,RMC4,,,,,,,,,,,,,20231219,QUALITY
C0C3,Güeñes,Sodupe-Cadagua,Bizkaia,NRC3,NCC3,NTC3,NOC3,Y0RG,NPC3,G4AO,NMC3,R0DQ,NIC3,,,,,,,,,,,20240527,QUALITY
B093,Ondarroa,Puerto de Ondarroa,Bizkaia,CB22,MO03,CB21,CB20,CT19,SP03,CT18,CT17,CT16,CT15,VV03,DV03,TA03,CB19,CB18,RN03,MI03,HA03,CB23,,20210524,BUOY
C0C0,Zalla,Zalla,Bizkaia,ISC0,G4D0,RAC0,R0ET,,,,,,,,,,,,,,,,,20221003,GAUGING
C0BD,Ziortza-Bolibar,Iruzubieta,Bizkaia,G458,R0R2,IEAD,ISBW,,,,,,,,,,,,,,,,,20240527,GAUGING
C0BE,Berriatua,Berriatua,Bizkaia,NOBE,NPBE,NRBE,ORBE,NMBE,G4AA,NTBE,ISAF,FTBE,PABE,NIBE,NCBE,R0FA,,,,,,,,20240409,QUALITY
C0C5,Galdames,Arenao,Bizkaia,UIC5,RAC5,,,,,,,,,,,,,,,,,,,20221003,GAUGING
