_id,afluencia,año,fecha,mes,meterId,source,vehiculos,vel_circulacion,vel_media
5_2024-01-22,0,2024,2024-01-22,1,5,1,20394,2,115.3125
5_2024-01-23,3,2024,2024-01-23,1,5,1,21836,2,114.8125
5_2024-01-24,3,2024,2024-01-24,1,5,1,21824,2,115.27083333333333
5_2024-01-25,3,2024,2024-01-25,1,5,1,23088,2,116.0625
5_2024-01-26,3,2024,2024-01-26,1,5,1,22429,2,115.40625
5_2024-01-27,0,2024,2024-01-27,1,5,1,14342,2,116.95833333333333
5_2024-01-28,0,2024,2024-01-28,1,5,1,13123,2,118.17708333333333
5_2024-01-29,3,2024,2024-01-29,1,5,1,22024,2,114.29166666666667
5_2024-01-30,3,2024,2024-01-30,1,5,1,22074,2,113.125
5_2024-01-31,3,2024,2024-01-31,1,5,1,21979,2,116.46875
5_2024-02-01,3,2024,2024-02-01,1,5,1,22289,2,116.35416666666667
5_2024-02-02,3,2024,2024-02-02,1,5,1,22780,2,114.20833333333333
5_2024-02-03,0,2024,2024-02-03,1,5,1,14022,2,115.45833333333333
5_2024-02-04,4,2024,2024-02-04,1,5,1,12460,2,117.5
5_2024-02-05,3,2024,2024-02-05,1,5,1,21303,2,115.78125
5_2024-02-06,3,2024,2024-02-06,1,5,1,21606,2,116.27083333333333
5_2024-02-07,3,2024,2024-02-07,1,5,1,22218,2,116.14583333333333
5_2024-02-08,3,2024,2024-02-08,1,5,1,22440,2,114.85416666666667
5_2024-02-09,3,2024,2024-02-09,1,5,1,21148,2,115.33333333333333
5_2024-02-10,4,2024,2024-02-10,1,5,1,11270,2,113.1875
5_2024-02-11,4,2024,2024-02-11,1,5,1,11576,2,117.67708333333333
5_2024-02-12,3,2024,2024-02-12,1,5,1,20592,2,114.97872340425532
5_2024-02-13,3,2024,2024-02-13,1,5,1,21618,2,116.14893617021276
5_2024-02-14,3,2024,2024-02-14,1,5,1,21780,2,115.47311827956989
5_2024-02-15,3,2024,2024-02-15,1,5,1,22067,2,114.9278350515464
5_2024-02-16,3,2024,2024-02-16,1,5,1,22932,2,113.47916666666667
5_2024-02-17,0,2024,2024-02-17,1,5,1,14319,2,116.09574468085107
5_2024-02-18,4,2024,2024-02-18,1,5,1,12741,2,116.70408163265306
5_2024-02-19,3,2024,2024-02-19,1,5,1,20816,2,112.5
5_2024-02-20,3,2024,2024-02-20,1,5,1,22280,2,115
5_2024-02-21,3,2024,2024-02-21,1,5,1,22666,2,114.39583333333333
5_2024-02-22,3,2024,2024-02-22,1,5,1,21480,2,113.57446808510639
5_2024-02-23,3,2024,2024-02-23,1,5,1,22530,2,114.29591836734694
5_2024-02-24,4,2024,2024-02-24,1,5,1,12644,2,114.39583333333333
5_2024-02-25,4,2024,2024-02-25,1,5,1,10982,2,115.125
5_2024-02-26,0,2024,2024-02-26,1,5,1,19702,2,109.22916666666667
5_2024-02-27,3,2024,2024-02-27,1,5,1,21974,2,112.93333333333334
5_2024-02-28,3,2024,2024-02-28,1,5,1,22807,2,109.35416666666667
5_2024-02-29,3,2024,2024-02-29,1,5,1,21527,2,111.85416666666667
5_2024-03-01,3,2024,2024-03-01,1,5,1,23858,2,114.8125
5_2024-03-02,4,2024,2024-03-02,1,5,1,12696,2,112.4375
5_2024-03-03,4,2024,2024-03-03,1,5,1,11192,2,114.625
5_2024-03-04,3,2024,2024-03-04,1,5,1,21280,2,114.77083333333333
5_2024-03-05,3,2024,2024-03-05,1,5,1,22298,2,114.22916666666667
5_2024-03-06,3,2024,2024-03-06,1,5,1,22852,2,114.77083333333333
5_2024-03-07,3,2024,2024-03-07,1,5,1,23284,2,117.25
