_id,cause,cityTown,incidenceType,province,road,sourceId,startDate,clave_union,nivel_incidencias
232750,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232749,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232748,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232747,Desconocida,road,Vialidad invernal tramos,ARABA,A-1,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Vialidad invernal tramos,2
232745,Desconocida,road,Puertos de montaña,ARABA,A-3102,1,2024-02-10T23:36:46.000Z,2024-02-10_ARABA_Puertos de montaña,0
232744,Desconocida,road,Puertos de montaña,GIPUZKOA,GI-2130,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Puertos de montaña,0
232746,Desconocida,road,Puertos de montaña,GIPUZKOA,N-634,1,2024-02-10T23:36:46.000Z,2024-02-10_GIPUZKOA_Puertos de montaña,0
232793,Obras,road,Obras,BIZKAIA,BI-636,1,2024-02-11T22:03:49.000Z,2024-02-11_BIZKAIA_Obras,1
232792,Obras,road,Obras,BIZKAIA,A-8,1,2024-02-11T22:10:02.000Z,2024-02-11_BIZKAIA_Obras,1
232791,Obras,road,Obras,BIZKAIA,BI-636,1,2024-02-11T22:23:58.000Z,2024-02-11_BIZKAIA_Obras,1
232790,Obras,Abadiño,Obras,BIZKAIA,N-634,1,2024-02-11T22:25:11.000Z,2024-02-11_BIZKAIA_Obras,1
232789,Otros,Mallabia,Otras incidencias,BIZKAIA,BI-633,1,2024-02-11T21:05:04.000Z,2024-02-11_BIZKAIA_Otras incidencias,0
232788,Obras,Andoain,Obras,GIPUZKOA,N-1,1,2024-02-11T21:28:31.000Z,2024-02-11_GIPUZKOA_Obras,0
232787,Obras,Irura,Obras,GIPUZKOA,N-1,1,2024-02-11T20:04:25.000Z,2024-02-11_GIPUZKOA_Obras,0
232786,Alcance,Bergara,Accidente,GIPUZKOA,GI-627,1,2024-02-11T18:49:37.000Z,2024-02-11_GIPUZKOA_Accidente,0
232785,Agua,Busturia,Meteorológica,BIZKAIA,BI-3123,1,2024-02-11T19:16:25.000Z,2024-02-11_BIZKAIA_Meteorológica,0
